S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
2,KULDEEP RAI SHARMA,Indian National Congress,77829,211,78040,38.54,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
3,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236,18,8254,4.08,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
4,D AYYAPPAN,Communist Party of India  (Marxist),6009,8,6017,2.97,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
5,V.K. ABDUL AZIZ,Independent,2195,8,2203,1.09,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
6,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911,3,914,0.45,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
7,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714,5,719,0.36,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
8,RINKU MALA MONDAL,Independent,539,3,542,0.27,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
9,K VENKAT RAM BABU,Independent,506,1,507,0.25,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
10,USHA KUMARI,Independent,378,2,380,0.19,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
11,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349,2,351,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
12,ANAND RAMNATH ARLEKAR,Independent,342,-,342,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
13,NOTA,None of the Above,1802,7,1809,0.89,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
