S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,JUNE MALIAH,All India Trinamool Congress,699562,2630,702192,47.4,West Bengal,Medinipur
2,AGNIMITRA PAUL,Bharatiya Janata Party,671328,3673,675001,45.56,West Bengal,Medinipur
3,BIPLAB BHATTA,Communist Party of India,57345,440,57785,3.9,West Bengal,Medinipur
4,ANINDITA JANA,Socialist Unity Centre Of India (COMMUNIST),9744,47,9791,0.66,West Bengal,Medinipur
5,SANJIB DEY,Independent,8703,8,8711,0.59,West Bengal,Medinipur
6,ANJAN (BABALU) MANDAL,Bahujan Samaj Party,6483,20,6503,0.44,West Bengal,Medinipur
7,KAMALESH MAHATA,Independent,4229,21,4250,0.29,West Bengal,Medinipur
8,SUKESH CHANDRA PALMAL,Independent,2757,5,2762,0.19,West Bengal,Medinipur
9,BISWAJIT DAS,Independent,2141,3,2144,0.14,West Bengal,Medinipur
10,NOTA,None of the Above,12362,62,12424,0.84,West Bengal,Medinipur
